Chamado_ID;Quarto_ID;Funcionario_ID;Tipo_Chamado;Prioridade;Data_Abertura;Data_Fechamento;Avaliacao_Atendimento
CHM-6292521;QRT-57763;FUN-01568;Hidráulica;Baixa;01/01/2026 17:11;03/01/2026 08:55;1
CHM-5069900;QRT-49389;FUN-08828;Frigobar com Defeito;Baixa;05/07/2024 15:39;06/07/2024 03:53;4
CHM-1743893;QRT-19734;FUN-09324;Ar-condicionado;Média;31/05/2025 22:10;01/06/2025 00:13;4
CHM-2892948;QRT-26237;FUN-67282;Hidráulica;Baixa;28/06/2025 17:44;29/06/2025 15:14;4
CHM-3024486;QRT-95618;FUN-08234;Frigobar com Defeito;Baixa;2025-05-26;27/05/2025 01:54;5
CHM-7009920;QRT-55454;FUN-03036;Wi-Fi;Baixa;2024-12-04;05/12/2024 08:51;5
CHM-7752792;QRT-95201;FUN-15867;TV / Controle;Alta;14/07/2024 07:04;14/07/2024 10:32;2
CHM-6370741;QRT-03596;FUN-22607;Wi-Fi;Alta;28/07/2024 15:45;28/07/2024 16:08;5
CHM-6020312;QRT-87466;FUN-71493;Wi-Fi;Baixa;08/09/2025 08:10;09/09/2025 07:56;5
CHM-0937995;QRT-85739;FUN-37715;Fechadura Eletrônica;Média;09/02/2025 14:16;09/02/2025 19:07;5
CHM-2119329;QRT-76454;FUN-92045;Wi-Fi;Média;11-07-2024;11/07/2024 12:34;4
CHM-3691843;QRT-92558;FUN-64047;Hidráulica;Média;29/08/2024 14:36;30/08/2024 12:17;2
CHM-0510961;QRT-81819;FUN-21094;Wi-Fi;Média;01-07-2024;01.07.24;5
CHM-7602365;QRT-76575;FUN-92045;Wi-Fi;Média;07.11.24;08.11.24;5
CHM-7174743;QRT-91810;FUN-82886;Fechadura Eletrônica;Baixa;2025-01-20;21-01-2025;5
CHM-9074507;QRT-67879;FUN-04670;TV / Controle;P2;03/01/2026 19:41;03.01.26;3
CHM-8730139;QRT-75780;FUN-48683;Hidráulica;Baixa;11/08/2025 17:53;2025-08-11;5
CHM-2626140;QRT-09674;FUN-09324;Limpeza Extra;Média;16/10/2025 23:49;17/10/2025 03:24;5
CHM-0001490;QRT-42908;FUN-66580;Hidráulica;P2;26/05/2026 16:19;27/05/2026 20:14;2
CHM-6844089;QRT-95712;FUN-78820;Ar-condicionado;P1;13/09/2025 14:48;13/09/2025 15:38;5
CHM-0142963;QRT-38689;FUN-96354;Wi-Fi;Baixa;01/09/2025 21:16;02/09/2025 04:46;4
CHM-9749101;QRT-45185;FUN-34873;Ar-condicionado;Média;25/11/2025 09:42;25/11/2025 18:18;2
CHM-2788962;QRT-13758;FUN-02909;Fechadura Eletrônica;alta;18.08.24;18.08.24;4
CHM-4132957;QRT-15710;FUN-96106;Limpeza Extra;Média;07.07.24;08/07/2024 02:57;4
CHM-8920421;QRT-29393;FUN-52300;TV / Controle;BAIXA;2025-12-30;2025-12-30;4
CHM-2513105;QRT-83689;FUN-49170;Elétrica;Média;2026-04-07;07/04/2026 11:28;4
CHM-1445060;QRT-07031;FUN-81524;Elétrica;Baixa;14-04-2026;14/04/2026 14:27;5
CHM-9243828;QRT-37672;FUN-05739;TV / Controle;Alta;12/07/2025 17:23;12/07/2025 19:19;5
CHM-8955105;QRT-02862;FUN-01568;Wi-Fi;Média;22-03-2026;22/03/2026 22:10;4
CHM-0390130;QRT-40043;FUN-49170;Fechadura Eletrônica;Média;15/02/2026 16:10;15/02/2026 19:18;5
CHM-1632846;QRT-86712;FUN-69727;Hidráulica;Média;14/04/2026 06:10;14/04/2026 22:14;3
CHM-0211831;QRT-78217;FUN-22607;Limpeza Extra;Média;05/05/2026 23:42;06-05-2026;4
CHM-3764160;QRT-41316;FUN-45111;Limpeza Extra;ALTA;26/09/2024 19:08;2024-09-26;4
CHM-9395952;QRT-42819;FUN-57664;Wi-Fi;Média;16.05.25;16/05/2025 18:00;4
CHM-9378133;QRT-54048;FUN-21094;Elétrica;Média;2024-12-13;13/12/2024 14:26;5
CHM-4022038;QRT-15355;FUN-64755;LIMPEZA EXTRA;Média;05/05/2025 08:07;05/05/2025 09:05;3
CHM-1245166;QRT-99264;FUN-52300;Limpeza Extra;Baixa;16-10-2025;17/10/2025 04:34;4
CHM-2144450;QRT-60540;FUN-43763;Hidráulica;Média;20/12/2024 14:45;20.12.24;4
CHM-9361867;QRT-15710;FUN-57664;Fechadura Eletrônica;Alta;25/09/2025 17:18;2025-09-25;3
CHM-1912504;QRT-26080;FUN-39946;Elétrica;Alta;06/10/2024 10:56;2024-10-06;5
CHM-0834423;QRT-12236;FUN-19473;Limpeza Extra;Média;20/08/2025 17:30;20/08/2025 19:47;4
CHM-1570759;QRT-57208;FUN-52793;Ar-condicionado;Baixa;12/12/2025 10:52;12/12/2025 20:28;4
CHM-9534010;QRT-13534;FUN-34873;Hidráulica;Média;04/06/2026 13:14;04-06-2026;5
CHM-4861853;QRT-91492;FUN-15867;Elétrica;Média;31/05/2025 07:53;31.05.25;4
CHM-4695576;QRT-14624;FUN-15867;Ar-condicionado;Média;26/08/2024 07:35;26/08/2024 11:08;4
CHM-0935198;QRT-68507;FUN-49170;Ar-condicionado;P2;03/09/2025 20:13;03/09/2025 23:37;5
CHM-4922103;QRT-69520;FUN-34079;Ar-condicionado;Média;09.06.26;09/06/2026 14:26;4
CHM-8386662;QRT-11654;FUN-25313;TV / Controle;Alta;28/09/2024 19:56;28-09-2024;4
CHM-4957241;QRT-03930;FUN-08849;Ar-condicionado;Alta;22/01/2026 14:36;22/01/2026 15:32;5
CHM-2000804;QRT-98042;FUN-19473;Elétrica;Média;10/06/2025 07:03;10-06-2025;3
CHM-3516310;QRT-68507;FUN-57664;Frigobar com Defeito;Média;2025-08-06;07/08/2025 03:15;5
CHM-2491761;QRT-74690;FUN-50800;Hidráulica;Média;07-09-2025;08/09/2025 00:01;3
CHM-9665371;QRT-69411;FUN-15867;Wi-Fi;Média;03/12/2024 13:53;03-12-2024;5
