Consumo_ID;Reserva_ID;Data_Consumo;Categoria_Consumo;Item_Descricao;Quantidade;Valor_Unitario
CNS-99508618;RSV-73676520;27/01/2025;Restaurante;Pizza Margherita;1;75,10
CNS-93339847;RSV-85173840;03/01/2025;Spa;Tratamento Facial;1;354,42
CNS-01636823;RSV-30926821;30/10/2024;Estacionamento;Diária de Estacionamento;3;43,33
CNS-12492165;RSV-00067263;2025-09-03;Estacionamento;Diária de Estacionamento;1;54,27
CNS-34008481;RSV-38000463;24/06/2026;Frigobar;Suco Natural;1;15,74
CNS-65439995;RSV-29948613;31/01/2025;Frigobar;Água Mineral 500 ml;3;8,88
CNS-45681584;RSV-80146682;01/05/2026;Lavanderia;Lavagem de Peça;4;R$ 16,52
CNS-95443516;RSV-83384860;30/08/2025;Frigobar;Suco Natural;2;23,54
CNS-03378729;RSV-05099408;27.04.25;Room Service;Sanduíche Club;1;51,51
CNS-89284373;RSV-18156080;08/11/2024;Room Service;Omelete com Salada;1;87,45
CNS-90376702;RSV-51650690;10.08.24;Estacionamento;Diária de Estacionamento;1;51,67
CNS-19624251;RSV-25265382;18/10/2024;Passeio;Passeio de Teleférico;1;324,46
CNS-12753924;RSV-24426294;24/04/2026;Frigobar;Chocolate;1;12,49
CNS-57551960;RSV-79471272;21.12.25;Spa;Day Use Spa;2;375,16
CNS-36943346;RSV-98999390;25/01/2025;Room Service;Tábua de Frios;2;69,78
CNS-56884488;RSV-95478745;05/05/2025;Spa;Day Use Spa;4;386,03
CNS-14858442;RSV-53221092;27-06-2025;Frigobar;Mix de Castanhas;1;25,91
CNS-78624008;RSV-13453606;03/08/2025;Spa;Massagem Relaxante 50 min;1;177,86
CNS-52440065;RSV-24725368;21/05/2025;Restaurante;Almoço Buffet;2;137,34
CNS-25778064;RSV-87988184;19/08/2025;Room Service;Sanduíche Club;4;80,25
CNS-11834743;RSV-75638152;2024-10-19;Restaurante;Almoço Buffet;1;110,55
CNS-54008596;RSV-06075349;08/01/2026;Room Service;Omelete com Salada;1;34,76
CNS-37222045;RSV-02469353;18/10/2025;Passeio;Mergulho com Cilindro;2;164,70
CNS-12756045;RSV-76302792;20/06/2025;Passeio;Passeio de Teleférico;1;139,17
CNS-03885206;RSV-10646739;04/04/2025;Frigobar;Suco Natural;3;27,69
CNS-03182704;RSV-75310101;28.12.25;Restaurante;Pizza Margherita;1;91,42
CNS-60392728;RSV-86185546;02/05/2026;Restaurante;Jantar Executivo;3;70,86
CNS-05305575;RSV-57177265;24/04/2025;PASSEIO;Passeio de Buggy;4;464,11
CNS-93038046;RSV-81489475;28/12/2024;Room Service;Tábua de Frios;2;42,21
CNS-56665676;RSV-08175053;23/02/2026;Estacionamento;Valet;1;25,61
CNS-53767440;RSV-70683871;16/02/2025;Passeio;Passeio de Escuna;2;429,42
CNS-50826450;RSV-38795458;21/03/2025;Room  Service;Sanduíche Club;1;70,83
CNS-34477344;RSV-20552992;28.06.25;Frigobar;Mix de Castanhas;1;18,64
CNS-73125149;RSV-80083931;17/09/2025;Restaurante;Pizza Margherita;2;59,52
CNS-78901853;RSV-47652133;18/09/2025;Spa;Circuito de Sauna;2;281,35
CNS-81360953;RSV-96215246;22/02/2026;Estacionamento;Diária de Estacionamento;1;45,87
CNS-93397618;RSV-10160633;01/11/2025;Room Service;Tábua de Frios;1;41,29
CNS-26666986;RSV-54246569;10/05/2026;Spa;Tratamento Facial;1;149,45
CNS-95755602;RSV-07683717;19/08/2024;Restaurante;Almoço Buffet;2;79,96
CNS-45877662;RSV-91486659;28.12.25;Restaurante;Pizza Margherita;2;39,95
CNS-77526164;RSV-90125849;13/09/2024;Frigobar;Suco Natural;1;8,99
CNS-23034199;RSV-49870835;12/09/2025;Restaurante;Almoço Buffet;1;54,02
CNS-24506426;RSV-25846114;08/10/2024;Restaurante;Risoto de Camarão;1;125,73
CNS-88543991;RSV-28525891;12.07.24;Restaurante;Porção de Petiscos;2;31,20
CNS-76785574;RSV-16418265;19/06/2025;Restaurante;Porção de Petiscos;1;51,15
CNS-70231579;RSV-92315466;13/04/2026;Estacionamento;Valet;1;42,68
CNS-84802680;RSV-31218726;21.01.26;Passeio;Aula de Stand-Up Paddle;2;322,47
CNS-13705997;RSV-21536983;07/07/2025;Room Service;Tábua de Frios;1;61,64
CNS-03792676;RSV-09904309;25/05/2025;Spa;Circuito de Sauna;2;180,17
CNS-24056779;RSV-91369379;10/02/2026;Passeio;Mergulho com Cilindro;1;321,40
CNS-24914372;RSV-54805843;19-07-2025;Frigobar;Refrigerante Lata;3;12,15
CNS-49027252;RSV-84707553;29/12/2024;Spa;Day Use Spa;1;205,54
CNS-31052173;RSV-65701431;17/01/2025;Restaurante;porção de petiscos;1;100,86
CNS-45658257;RSV-52178598;25/08/2024;Spa;Tratamento Facial;3;234,89
CNS-36578984;RSV-09929399;01/04/2026;Spa;Day Use Spa;3;282,95
CNS-95069931;RSV-19997281;13/02/2025;Room Service; Sanduíche Club;3;52,43
CNS-67667834;RSV-71764881;02/03/2026;Restaurante;Almoço Buffet;3;48,23
CNS-92275086;RSV-64024657;02/05/2026;Passeio;Passeio de Buggy;2;102,79
CNS-07344209;RSV-39615038;18/09/2024;Frigobar;Água Mineral 500 ml;1;11,87
CNS-27776833;RSV-55764038;14-03-2026;Frigobar;Mix de Castanhas;2;14,38
CNS-80568755;RSV-36774682;15-03-2026;Restaurante;Porção de Petiscos;3;41,78
CNS-27469905;RSV-61394726;26/11/2024;Room Service;Tábua de Frios;2;39,10
CNS-58081904;RSV-31853564;2026-04-06;Restaurante;Pizza Margherita;4;115,83
CNS-81679292;RSV-73513052;27/12/2025;Estacionamento;Valet;1;51,84
CNS-68892419;RSV-18816027;18/06/2026;Restaurante;Almoço Buffet;2;53,50
CNS-46943115;RSV-38504300;01/03/2026;Restaurante;Taça de Vinho Tinto;1;29,08
CNS-72120273;RSV-03049200;24/05/2025;Spa; Tratamento Facial;1;199,31
CNS-91396739;RSV-61903318;14/12/2024;Passeio;Trilha ao Mirante;2;357,04
CNS-95073939;RSV-84332677;16/07/2025;Passeio;Ingresso de Museu;1;427,94
CNS-19537592;RSV-63135434;06/03/2026;Frigobar;Chocolate;2;26,26
CNS-63349109;RSV-74623912;07/02/2025;Restaurante;Pizza Margherita;2;107,69
CNS-89009728;RSV-05435356;10-02-2026;Restaurante;Jantar Executivo;1;128,99
CNS-16522749;RSV-89976897;19/02/2025;Restaurante;Sobremesa da Casa;1;95,71
CNS-18133623;RSV-49087273;26/02/2026;Restaurante;Jantar Executivo;1;33,79
CNS-32120155;RSV-42725983;11/08/2024;Passeio;Noite de Fondue;2;302,20
CNS-33079171;RSV-12521390;09-05-2026;Restaurante;Sobremesa da Casa;3;42,66
CNS-86606828;RSV-23797478;17/11/2024;Passeio;Tour de Vinícolas;1;152,90
CNS-79068842;RSV-27161827;29/05/2025;Restaurante;Almoço Buffet;1;96,64
CNS-78184718;RSV-41177606;20/02/2026;FRIGOBAR;Suco Natural;2;10,74
CNS-23138711;RSV-35450130;25/02/2025;PASSEIO;Trilha ao Mirante;1;328,79
CNS-57366200;RSV-14384146;16/10/2025;Estacionamento;Valet;1;54,93
CNS-66127906;RSV-62373655;30-06-2025;Restaurante;Taça de Vinho Tinto;1;77,03
CNS-03755161;RSV-40559033;16/08/2024;Frigobar;Água Mineral 500 ml;3;7,37
CNS-22005329;RSV-44339271;06.04.25;Restaurante;Almoço Buffet;1;99,11
CNS-71541246;RSV-16126374;17/07/2024;Restaurante;Almoco Buffet;4;30,61
CNS-83820149;RSV-86275343;01/03/2026;Spa;Tratamento Facial;1;194,40
