Chamado_ID;Quarto_ID;Funcionario_ID;Tipo_Chamado;Prioridade;Data_Abertura;Data_Fechamento;Avaliacao_Atendimento
CHM-6292521;QRT-57763;FUN-01568;Hidráulica;Baixa;2026-01-01 17:11:00;2026-01-03 08:55:42;1
CHM-5069900;QRT-49389;FUN-08828;Frigobar com Defeito;Baixa;2024-07-05 15:39:00;2024-07-06 03:53:38;4
CHM-1743893;QRT-19734;FUN-09324;Ar-condicionado;Média;2025-05-31 22:10:00;2025-06-01 00:13:51;4
CHM-2892948;QRT-26237;FUN-67282;Hidráulica;Baixa;2025-06-28 17:44:00;2025-06-29 15:14:15;4
CHM-3024486;QRT-95618;FUN-08234;Frigobar com Defeito;Baixa;2025-05-26 07:13:00;2025-05-27 01:54:47;5
CHM-7009920;QRT-55454;FUN-03036;Wi-Fi;Baixa;2024-12-04 16:07:00;2024-12-05 08:51:23;5
CHM-7752792;QRT-95201;FUN-15867;TV / Controle;Alta;2024-07-14 07:04:00;2024-07-14 10:32:44;2
CHM-6370741;QRT-03596;FUN-22607;Wi-Fi;Alta;2024-07-28 15:45:00;2024-07-28 16:08:15;5
CHM-6020312;QRT-87466;FUN-71493;Wi-Fi;Baixa;2025-09-08 08:10:00;2025-09-09 07:56:32;5
CHM-0937995;QRT-85739;FUN-37715;Fechadura Eletrônica;Média;2025-02-09 14:16:00;2025-02-09 19:07:22;5
CHM-2119329;QRT-76454;FUN-92045;Wi-Fi;Média;2024-07-11 10:24:00;2024-07-11 12:34:33;4
CHM-3691843;QRT-92558;FUN-64047;Hidráulica;Média;2024-08-29 14:36:00;2024-08-30 12:17:20;2
CHM-0510961;QRT-81819;FUN-21094;Wi-Fi;Média;2024-07-01 17:22:00;2024-07-01 21:08:17;5
CHM-7602365;QRT-76575;FUN-92045;Wi-Fi;Média;2024-11-07 23:38:00;2024-11-08 01:43:03;5
CHM-7174743;QRT-91810;FUN-82886;Fechadura Eletrônica;Baixa;2025-01-20 19:29:00;2025-01-21 15:16:32;5
CHM-9074507;QRT-67879;FUN-04670;TV / Controle;Média;2026-01-03 19:41:00;2026-01-03 23:20:53;3
CHM-8730139;QRT-75780;FUN-48683;Hidráulica;Baixa;2025-08-11 17:53:00;2025-08-11 20:17:02;5
CHM-2626140;QRT-09674;FUN-09324;Limpeza Extra;Média;2025-10-16 23:49:00;2025-10-17 03:24:59;5
CHM-0001490;QRT-42908;FUN-66580;Hidráulica;Média;2026-05-26 16:19:00;2026-05-27 20:14:40;2
CHM-6844089;QRT-95712;FUN-78820;Ar-condicionado;Alta;2025-09-13 14:48:00;2025-09-13 15:38:26;5
