Quarto_ID;Hotel_ID;Numero_Quarto;Andar;Tipo_Quarto;Capacidade_Pessoas;Vista;Tarifa_Base_Diaria
QRT-04025;HTL-602;101;1;Standard;2;Vale;499,51
QRT-74428;HTL-602;102;1;Standard;2;Montanha;535,95
QRT-31930;HTL-602;103;1;Luxo;3;Montanha;851,27
QRT-87593;HTL-602;104;1;Standard;2;Jardim;444,71
QRT-85702;HTL-602;105;1;Superior;3;Vale;559,4
QRT-83481;HTL-602;106;1;Standard;2;Montanha;566,39
QRT-96617;HTL-602;107;1;Standard;2;Vale;380,73
QRT-96237;HTL-602;108;1;Standard;2;Jardim;381,29
QRT-40957;HTL-602;109;1;Standard;2;Montanha;555,4
QRT-94225;HTL-602;110;1;Standard;2;Jardim;405,17
QRT-53914;HTL-602;111;1;Standard;2;Vale;411,4
QRT-16535;HTL-602;112;1;Luxo;3;Montanha;660,63
QRT-80765;HTL-602;201;2;Superior;3;Jardim;643,13
QRT-21077;HTL-602;202;2;Standard;2;Vale;394,63
QRT-16851;HTL-602;203;2;Suíte Master;4;Montanha;1127,99
QRT-75030;HTL-602;204;2;Standard;2;Montanha;497,35
QRT-25078;HTL-602;205;2;Suíte Master;4;Jardim;863,64
QRT-14528;HTL-602;206;2;Suíte Master;4;Vale;1093,67
QRT-76736;HTL-602;207;2;Standard;2;Montanha;582,47
QRT-20055;HTL-602;208;2;Standard;2;Vale;415,78
QRT-29802;HTL-602;209;2;Standard;2;Vale;449,91
QRT-78524;HTL-602;210;2;Superior;3;Montanha;621,65
QRT-44476;HTL-602;211;2;Standard;2;Montanha;400,68
QRT-78115;HTL-602;212;2;Suíte Master;4;Montanha;903,31
QRT-29485;HTL-602;301;3;Standard;2;Montanha;440,36
QRT-99814;HTL-602;302;3;Standard;2;Vale;488,85
QRT-10397;HTL-602;303;3;Standard;2;Jardim;501,46
QRT-95712;HTL-602;304;3;Standard;2;Vale;511,89
QRT-03049;HTL-602;305;3;Suíte Master;4;Vale;1080,52
QRT-01562;HTL-602;306;3;Superior;3;Montanha;736,79
QRT-56455;HTL-602;307;3;Standard;2;Vale;376,78
QRT-32164;HTL-602;308;3;Suíte Master;4;Montanha;1209,42
QRT-65055;HTL-602;309;3;Suíte Master;4;Montanha;877,53
QRT-83187;HTL-602;310;3;Standard;2;Jardim;497,36
QRT-65918;HTL-602;311;3;Superior;3;Vale;538,12
QRT-12236;HTL-602;312;3;Standard;2;Montanha;541,72
QRT-98042;HTL-602;401;4;Luxo;3;Vale;676,51
QRT-27540;HTL-602;402;4;Standard;2;Montanha;518,71
QRT-58511;HTL-602;403;4;Standard;2;Vale;501,75
QRT-22178;HTL-602;404;4;Standard;2;Montanha;575,92
QRT-92171;HTL-602;405;4;Standard;2;Vale;472,4
QRT-39888;HTL-602;406;4;Standard;2;Montanha;540,44
QRT-88284;HTL-602;407;4;Standard;2;Vale;350,54
QRT-63207;HTL-602;408;4;Standard;2;Montanha;428,21
QRT-25905;HTL-356;101;1;Suíte Master;4;Montanha;3236,86
QRT-91810;HTL-356;102;1;Standard;2;Jardim;950,56
QRT-57763;HTL-356;103;1;Standard;2;Vale;1253,86
QRT-66195;HTL-356;104;1;Standard;2;Vale;1250,88
QRT-21496;HTL-356;105;1;Superior;3;Jardim;1161,86
QRT-48327;HTL-356;106;1;Luxo;3;Vale;1652,55
QRT-42497;HTL-356;107;1;Superior;3;Jardim;1210,37
QRT-66092;HTL-356;108;1;Standard;2;Montanha;984,34
QRT-09674;HTL-356;109;1;Standard;2;Montanha;887,06
QRT-64260;HTL-356;110;1;Luxo;3;Vale;1280,88
QRT-28645;HTL-356;111;1;Luxo;3;Montanha;2139,22
QRT-86959;HTL-356;112;1;Suíte Master;4;Montanha;2547,15
QRT-84941;HTL-356;201;2;Luxo;3;Vale;1896,49
QRT-26756;HTL-356;202;2;Luxo;3;Jardim;1345,12
QRT-23801;HTL-356;203;2;Standard;2;Montanha;1290,76
QRT-04542;HTL-356;204;2;Standard;2;Montanha;1285,68
QRT-08549;HTL-356;205;2;Standard;2;Vale;1266,56
QRT-94756;HTL-356;206;2;Standard;2;Jardim;1209,14
QRT-43677;HTL-356;207;2;Standard;2;Montanha;976,6
QRT-59560;HTL-356;208;2;Luxo;3;Montanha;2370,01
QRT-23438;HTL-356;209;2;Standard;2;Jardim;792,67
QRT-00593;HTL-356;210;2;Standard;2;Jardim;836,41
QRT-02862;HTL-356;211;2;Superior;3;Vale;881,2
QRT-26716;HTL-356;212;2;Superior;3;Montanha;1480,14
QRT-13595;HTL-356;301;3;Luxo;3;Montanha;2138,5
