Reserva_ID;Quarto_ID;Hospede_ID;Canal_Venda;Data_Reserva;Data_Checkin;Data_Checkout;Qtd_Hospedes;Diaria_Media_Cobrada;Status_Reserva
RSV-15847218;QRT-04025;HSP-440774;Site Próprio;2024-05-14;2024-07-06;2024-07-09;1;888,86;Check-out Realizado
RSV-85818464;QRT-04025;HSP-858288;OTA BookNow;2024-04-04;2024-07-11;2024-07-18;2;840,38;Check-out Realizado
RSV-87335662;QRT-04025;HSP-456421;OTA BookNow;2024-07-08;2024-07-18;2024-07-25;1;978,59;Check-out Realizado
RSV-71991465;QRT-04025;HSP-437246;Site Próprio;2024-07-22;2024-07-26;2024-07-29;2;972,25;Check-out Realizado
RSV-78949481;QRT-04025;HSP-125697;Site Próprio;2024-06-21;2024-07-29;2024-08-01;2;913,38;Check-out Realizado
RSV-92235541;QRT-04025;HSP-448614;OTA BookNow;2024-04-27;2024-08-09;2024-08-12;2;605,39;Check-out Realizado
RSV-86379252;QRT-04025;HSP-055771;Agência de Turismo;2024-06-28;2024-08-17;2024-08-19;1;504,09;Check-out Realizado
RSV-57288946;QRT-04025;HSP-551137;Site Próprio;2024-08-22;2024-08-23;2024-08-27;1;605,02;Cancelada
RSV-99289314;QRT-04025;HSP-597003;OTA ViajaMais;2024-06-17;2024-08-31;2024-09-03;2;495,8;Check-out Realizado
RSV-61451217;QRT-04025;HSP-603373;OTA ViajaMais;2024-06-22;2024-09-07;2024-09-11;1;317,12;Check-out Realizado
RSV-38505422;QRT-04025;HSP-567988;Agência de Turismo;2024-08-04;2024-09-19;2024-09-23;2;363,32;Check-out Realizado
RSV-57377418;QRT-04025;HSP-106618;Site Próprio;2024-09-07;2024-10-04;2024-10-11;1;398,07;Check-out Realizado
RSV-33759321;QRT-04025;HSP-846859;OTA BookNow;2024-07-24;2024-10-11;2024-10-15;1;711,18;Check-out Realizado
RSV-05130934;QRT-04025;HSP-731979;OTA BookNow;2024-08-17;2024-10-18;2024-10-20;1;334,57;Check-out Realizado
RSV-59628741;QRT-04025;HSP-861450;OTA BookNow;2024-08-23;2024-10-26;2024-10-30;2;454,2;Check-out Realizado
RSV-31349710;QRT-04025;HSP-762550;Site Próprio;2024-09-21;2024-11-04;2024-11-06;1;403,82;Check-out Realizado
RSV-43104227;QRT-04025;HSP-495238;OTA BookNow;2024-11-11;2024-11-15;2024-11-17;1;540,45;Check-out Realizado
RSV-03762100;QRT-04025;HSP-609958;Central Telefônica;2024-11-19;2024-11-22;2024-11-25;2;657,36;Check-out Realizado
RSV-11987711;QRT-04025;HSP-287566;OTA ViajaMais;2024-08-31;2024-11-27;2024-12-01;2;454,28;Check-out Realizado
RSV-66543998;QRT-04025;HSP-473092;Agência de Turismo;2024-08-14;2024-12-05;2024-12-07;1;666,96;Cancelada
RSV-88116732;QRT-04025;HSP-696974;Site Próprio;2024-11-23;2024-12-08;2024-12-12;1;963,56;Check-out Realizado
RSV-56579738;QRT-04025;HSP-341547;OTA BookNow;2024-08-23;2024-12-13;2024-12-15;2;743,16;Check-out Realizado
RSV-50516849;QRT-04025;HSP-441704;Agência de Turismo;2024-10-10;2024-12-16;2024-12-18;2;659,91;Check-out Realizado
RSV-06458052;QRT-04025;HSP-304843;Balcão;2024-12-20;2024-12-20;2024-12-23;1;677,24;Check-out Realizado
RSV-66183325;QRT-04025;HSP-423756;OTA BookNow;2024-10-22;2024-12-25;2024-12-29;2;565,35;Check-out Realizado
RSV-92529623;QRT-04025;HSP-451786;OTA BookNow;2024-09-10;2024-12-29;2025-01-02;1;859,27;Check-out Realizado
RSV-78733833;QRT-04025;HSP-098527;OTA BookNow;2024-11-16;2025-01-03;2025-01-08;2;945,75;Check-out Realizado
RSV-41251713;QRT-04025;HSP-764791;OTA BookNow;2024-10-20;2025-01-17;2025-01-19;1;392,47;Check-out Realizado
RSV-46549676;QRT-04025;HSP-584526;Agência de Turismo;2025-01-14;2025-01-24;2025-01-28;1;493,25;Check-out Realizado
RSV-44647749;QRT-04025;HSP-549363;OTA BookNow;2024-10-31;2025-02-03;2025-02-08;2;357,06;Check-out Realizado
RSV-38253193;QRT-04025;HSP-604737;OTA BookNow;2024-12-31;2025-02-09;2025-02-12;1;727,69;Check-out Realizado
RSV-85993924;QRT-04025;HSP-019683;OTA ViajaMais;2024-11-07;2025-02-19;2025-02-21;1;325,43;Check-out Realizado
RSV-31418617;QRT-04025;HSP-084285;Site Próprio;2024-12-14;2025-02-28;2025-03-02;2;593,63;Check-out Realizado
RSV-76923855;QRT-04025;HSP-696074;Agência de Turismo;2024-10-23;2025-03-08;2025-03-11;1;346,83;Check-out Realizado
RSV-83947157;QRT-04025;HSP-469579;OTA ViajaMais;2025-01-25;2025-03-17;2025-03-20;1;336,46;Check-out Realizado
RSV-21757810;QRT-04025;HSP-099927;Site Próprio;2025-02-27;2025-03-28;2025-04-02;1;420,4;Check-out Realizado
RSV-95967400;QRT-04025;HSP-103125;OTA ViajaMais;2025-03-29;2025-04-04;2025-04-08;1;368,18;Check-out Realizado
RSV-20928627;QRT-04025;HSP-633676;Site Próprio;2025-02-22;2025-04-12;2025-04-15;2;347,31;Check-out Realizado
RSV-13195911;QRT-04025;HSP-034031;Site Próprio;2025-03-02;2025-04-15;2025-04-19;1;355,62;Check-out Realizado
RSV-43883667;QRT-04025;HSP-250358;OTA BookNow;2025-01-25;2025-04-19;2025-04-26;2;668,36;Check-out Realizado
RSV-35199709;QRT-04025;HSP-431823;Site Próprio;2025-04-25;2025-04-27;2025-04-29;1;825,36;Check-out Realizado
RSV-08525332;QRT-04025;HSP-250358;Balcão;2025-05-02;2025-05-02;2025-05-07;2;380,12;Check-out Realizado
RSV-74585591;QRT-04025;HSP-151025;Agência de Turismo;2025-02-09;2025-05-09;2025-05-12;1;405,88;Check-out Realizado
RSV-23936649;QRT-04025;HSP-983093;OTA BookNow;2025-02-09;2025-05-19;2025-05-21;2;418,84;Check-out Realizado
RSV-80699260;QRT-04025;HSP-493380;Site Próprio;2025-03-09;2025-05-28;2025-06-02;1;383,44;Check-out Realizado
RSV-80168596;QRT-04025;HSP-955447;Site Próprio;2025-05-05;2025-06-05;2025-06-07;1;622,03;Check-out Realizado
RSV-69677848;QRT-04025;HSP-201890;OTA BookNow;2025-05-24;2025-06-13;2025-06-18;1;979,3;Check-out Realizado
